date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-05-21,8.01,8.15,8.0,7.9,80852.0,-0.02,-0.25,8.188,8.004,8.461,103154.25,101501.16,149540.51
2019-05-20,8.02,8.13,8.02,7.64,101839.31,-0.06,-0.74,8.196,7.972,8.529,104965.85,105775.34,161581.07
2019-05-17,8.39,8.39,8.08,8.0,97575.01,-0.32,-3.81,8.202,7.944,8.575,113066.73,109324.63,164518.08
2019-05-16,8.53,8.53,8.4,8.27,81082.98,-0.04,-0.47,8.146,7.996,8.621,118012.43,112166.57,170115.51
2019-05-15,8.06,8.69,8.44,8.06,154421.95,0.4,4.97,7.982,8.043,8.643,117364.73,118342.19,176695.51
2019-05-14,7.9,8.16,8.04,7.85,89910.0,-0.01,-0.12,7.82,8.092,8.656,99848.08,117959.6,177165.86
2019-05-13,7.65,8.15,8.05,7.65,142343.7,0.25,3.21,7.748,8.172,8.695,106584.84,129643.38,190178.13
2019-05-10,7.65,7.95,7.8,7.5,122303.52,0.22,2.9,7.686,8.321,8.736,105582.53,137037.82,202446.35
2019-05-09,7.54,7.63,7.58,7.44,77844.49,-0.05,-0.66,7.846,8.465,8.765,106320.71,145328.59,211408.57
2019-05-08,7.5,7.74,7.63,7.35,66838.68,-0.05,-0.65,8.104,8.673,8.785,119319.64,168388.24,218283.19
2019-05-07,7.74,7.97,7.68,7.37,123593.8,-0.06,-0.78,8.364,8.917,8.813,136071.12,197579.85,224843.52
2019-05-06,8.2,8.2,7.74,7.74,137332.14,-0.86,-10.0,8.596,9.086,8.843,152701.91,217386.8,229781.81
2019-04-30,8.69,8.93,8.6,8.5,125994.46,-0.27,-3.04,8.956,9.205,8.867,168493.11,219711.53,236606.15
2019-04-29,8.93,9.18,8.87,8.71,142839.14,-0.06,-0.67,9.084,9.245,8.844,184336.46,228064.44,246287.8
2019-04-26,8.73,9.14,8.93,8.62,150596.06,0.09,1.02,9.242,9.243,8.796,217456.84,235048.82,248675.03
2019-04-25,9.49,9.49,8.84,8.84,206747.77,-0.7,-7.34,9.47,9.22,8.739,259088.59,236372.12,252772.22
2019-04-24,9.3,9.55,9.54,8.82,216288.12,0.3,3.25,9.576,9.218,8.701,282071.69,250712.89,259652.21
2019-04-23,9.55,9.68,9.24,9.19,205211.2,-0.42,-4.35,9.454,9.15,8.598,270929.95,267854.88,254917.51
2019-04-22,10.27,10.31,9.66,9.48,308441.03,-0.41,-4.07,9.406,9.065,8.509,271792.42,277488.55,251601.63
2019-04-19,9.37,10.23,10.07,9.37,358754.81,0.7,7.47,9.244,8.896,8.407,252640.81,268178.15,245308.98
2019-04-18,8.9,9.52,9.37,8.87,321663.28,0.44,4.93,8.97,8.708,8.292,213655.66,252107.18,236126.17
2019-04-17,9.0,9.13,8.93,8.86,160579.45,-0.07,-0.78,8.86,8.599,8.211,219354.08,242176.82,228707.09
2019-04-16,8.8,9.08,9.0,8.56,209523.52,0.15,1.7,8.846,8.528,8.155,264779.8,253500.78,234100.63
2019-04-15,8.78,9.24,8.85,8.78,212682.98,0.15,1.72,8.724,8.443,8.101,283184.68,264511.16,240136.54
2019-04-12,8.83,8.97,8.7,8.63,163829.08,-0.12,-1.36,8.548,8.348,8.032,283715.48,262301.24,242339.15
2019-04-11,8.76,9.26,8.82,8.69,350155.38,-0.04,-0.45,8.446,8.257,7.957,290558.71,269172.33,246609.57
2019-04-10,8.38,8.96,8.86,8.24,387708.06,0.47,5.6,8.338,8.184,7.891,264999.56,268591.54,245741.13
2019-04-09,7.95,8.45,8.39,7.87,301547.88,0.42,5.27,8.21,8.046,7.845,242221.75,241980.15,243436.84
2019-04-08,8.2,8.24,7.97,7.82,215337.02,-0.22,-2.69,8.162,7.952,7.822,245837.64,225714.71,254190.41
2019-04-04,8.28,8.34,8.19,8.15,198045.19,-0.09,-1.09,8.148,7.917,7.858,240886.99,222439.81,271468.45
2019-04-03,8.23,8.3,8.28,8.14,222359.67,0.06,0.73,8.068,7.875,8.012,247785.94,220145.15,285821.02
2019-04-02,8.15,8.29,8.22,8.1,273818.97,0.07,0.86,8.03,7.822,8.11,272183.52,215237.36,297640.09
2019-04-01,7.88,8.29,8.15,7.87,319627.34,0.25,3.17,7.882,7.781,8.164,241738.55,214700.48,297417.23
2019-03-29,7.76,7.95,7.9,7.69,190583.8,0.11,1.41,7.742,7.758,8.222,205591.77,215761.93,303255.58
2019-03-28,7.97,8.04,7.79,7.76,232539.94,-0.3,-3.71,7.686,7.716,8.277,203992.62,222377.07,302792.47
2019-03-27,7.47,8.23,8.09,7.47,344347.53,0.61,8.15,7.682,7.656,8.336,192504.35,224046.81,303604.31
2019-03-26,7.45,7.6,7.48,7.42,121594.15,0.03,0.4,7.614,7.598,8.386,158291.21,222890.72,307157.21
2019-03-25,7.47,7.55,7.45,7.4,138893.44,-0.17,-2.23,7.68,7.644,8.443,187662.4,244893.53,322934.12
2019-03-22,7.72,7.72,7.62,7.52,182588.02,-0.15,-1.93,7.774,7.692,8.483,225932.08,282666.11,334021.68
2019-03-21,7.79,7.8,7.77,7.7,175098.61,0.02,0.26,7.746,7.799,8.507,240761.52,320497.09,334727.02
2019-03-20,7.83,7.84,7.75,7.63,173281.83,-0.06,-0.77,7.63,8.148,8.524,255589.26,351496.89,336475.52
2019-03-19,7.94,8.16,7.81,7.8,268450.09,-0.11,-1.39,7.582,8.397,8.549,287490.24,380042.82,334994.82
2019-03-18,7.49,7.92,7.92,7.49,330241.84,0.44,5.88,7.608,8.547,8.57,302124.65,380133.99,335397.28
2019-03-15,7.18,7.48,7.48,7.14,256735.23,0.29,4.03,7.61,8.685,8.592,339400.13,390749.23,331238.46
2019-03-14,7.39,7.47,7.19,7.08,249237.31,-0.32,-4.26,7.852,8.838,8.636,400232.65,383207.88,331318.46
2019-03-13,7.93,7.93,7.51,7.46,332786.72,-0.43,-5.42,8.666,9.015,8.696,447404.53,383161.81,334450.8
2019-03-12,7.93,8.03,7.94,7.83,341622.16,0.01,0.13,9.212,9.174,8.723,472595.4,391423.69,332998.56
2019-03-11,8.2,8.23,7.93,7.82,516619.25,-0.76,-8.75,9.486,9.241,8.719,458143.33,400974.71,325409.55
2019-03-08,8.69,9.29,8.69,8.69,560897.81,-0.97,-10.04,9.76,9.274,8.714,442098.33,385377.26,315083.22
2019-03-07,10.5,11.26,11.26,10.26,485096.69,1.02,9.96,9.824,9.214,8.65,366183.11,348956.95,300216.36
2019-03-06,9.31,10.24,10.24,9.25,458741.09,0.93,9.99,9.364,8.9,8.444,318919.09,321454.15,297999.07
2019-03-05,9.18,9.33,9.31,9.11,269361.81,0.01,0.11,9.136,8.701,8.29,310251.98,289946.83,285513.16
2019-03-04,9.46,9.46,9.3,8.93,436394.25,0.29,3.22,8.996,8.592,8.179,343806.09,290660.57,278087.54
2019-03-01,8.94,9.03,9.01,8.81,181321.72,0.05,0.56,8.788,8.499,8.071,328656.19,271727.69,263597.18
2019-02-28,9.19,9.32,8.96,8.87,248776.59,-0.14,-1.54,8.604,8.434,7.976,331730.8,279429.04,265760.54
2019-02-27,8.59,9.1,9.1,8.57,415405.53,0.49,5.69,8.436,8.376,7.884,323989.21,285739.79,266784.61
2019-02-26,8.21,8.93,8.61,8.11,437132.38,0.35,4.24,8.266,8.272,7.803,269641.67,274573.42,260856.5
2019-02-25,8.09,8.27,8.26,8.0,360644.75,0.17,2.1,8.188,8.196,7.718,237515.05,249844.38,249388.48
2019-02-22,8.05,8.14,8.09,7.93,196694.73,-0.03,-0.37,8.21,8.153,7.637,214799.19,244789.18,238023.17
2019-02-21,8.3,8.3,8.12,8.07,210068.66,-0.13,-1.58,8.264,8.085,7.561,227127.29,251475.77,236749.03
2019-02-20,8.19,8.34,8.25,8.12,143667.84,0.03,0.36,8.316,7.988,7.479,247490.38,274543.99,236139.1
2019-02-19,8.37,8.37,8.22,8.09,276499.28,-0.15,-1.79,8.278,7.878,7.382,279505.18,281079.5,235063.96
2019-02-18,8.35,8.44,8.37,8.28,247065.44,0.01,0.12,8.204,7.765,7.282,262173.72,265514.5,227304.75
