date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-05-21,3.81,3.95,3.87,3.81,79606.0,0.04,1.04,3.966,3.933,3.891,160095.9,163737.13,160111.22
2019-05-20,3.87,3.9,3.83,3.73,109477.4,-0.07,-1.79,3.984,3.923,3.903,177170.54,171668.17,163348.89
2019-05-17,4.13,4.13,3.9,3.88,187379.48,-0.26,-6.25,4.016,3.915,3.919,188899.41,188596.72,166308.97
2019-05-16,4.05,4.24,4.16,4.01,240755.2,0.09,2.21,4.036,3.904,3.929,204123.68,182888.18,167810.81
2019-05-15,4.0,4.07,4.07,3.94,183261.42,0.11,2.78,3.954,3.849,3.929,172000.84,173325.62,169855.04
2019-05-14,3.9,4.07,3.96,3.88,164979.19,-0.03,-0.75,3.9,3.806,3.94,167378.36,170873.92,181703.92
2019-05-13,3.92,3.99,3.99,3.87,168121.77,-0.01,-0.25,3.862,3.789,3.962,166165.81,170520.2,194526.7
2019-05-10,3.83,4.04,4.0,3.77,263500.84,0.25,6.67,3.814,3.792,3.974,188294.02,167071.8,198410.85
2019-05-09,3.76,3.84,3.75,3.72,80141.0,-0.05,-1.32,3.772,3.785,3.991,161652.67,154914.9,201466.6
2019-05-08,3.63,3.87,3.8,3.61,160149.0,0.03,0.8,3.744,3.816,4.013,174650.39,158417.75,213959.88
2019-05-07,3.83,3.9,3.77,3.6,158916.42,0.02,0.53,3.712,3.848,4.035,174369.47,156485.31,216005.5
2019-05-06,3.68,4.1,3.75,3.61,278762.84,-0.04,-1.05,3.716,3.883,4.059,174874.59,155029.61,220364.45
2019-04-30,3.66,3.81,3.79,3.61,130294.09,0.18,4.99,3.77,3.923,4.085,145849.59,144021.22,222281.93
2019-04-29,3.7,3.75,3.61,3.61,145129.59,-0.03,-0.82,3.798,3.954,4.106,148177.12,152733.45,229417.82
2019-04-26,3.75,3.81,3.64,3.63,158744.41,-0.15,-3.96,3.888,4.008,4.123,142185.12,166384.46,228020.61
2019-04-25,4.02,4.02,3.79,3.78,161442.0,-0.23,-5.72,3.984,4.074,4.132,138601.15,192533.93,226117.64
2019-04-24,3.93,4.02,4.02,3.88,133637.84,0.09,2.29,4.05,4.134,4.139,135184.64,218533.2,223394.75
2019-04-23,4.08,4.08,3.93,3.92,141931.77,-0.13,-3.2,4.076,4.156,4.133,142192.84,229749.9,228736.11
2019-04-22,4.15,4.15,4.06,4.05,115169.58,-0.06,-1.46,4.11,4.197,4.139,157289.78,248018.31,231914.23
2019-04-19,4.14,4.14,4.12,4.01,140824.58,0.0,0.0,4.128,4.21,4.146,190583.81,269502.01,238149.22
2019-04-18,4.12,4.19,4.12,4.1,144359.41,-0.03,-0.72,4.164,4.221,4.152,246466.7,275525.69,256928.92
2019-04-17,4.09,4.2,4.15,4.08,168678.88,0.05,1.22,4.218,4.235,4.15,301881.76,285699.29,265804.84
2019-04-16,4.03,4.12,4.1,3.94,217416.44,-0.05,-1.21,4.236,4.247,4.153,317306.96,300542.65,275507.4
2019-04-15,4.26,4.34,4.15,4.14,281639.72,-0.15,-3.49,4.284,4.258,4.154,338746.84,306102.19,276821.54
2019-04-12,4.35,4.61,4.3,4.23,420239.03,-0.09,-2.05,4.292,4.237,4.147,348420.22,289656.75,274847.49
2019-04-11,4.23,4.48,4.39,4.17,421434.75,0.15,3.54,4.278,4.19,4.131,304584.69,259701.35,265307.63
2019-04-10,4.29,4.31,4.24,4.17,245804.84,-0.1,-2.3,4.252,4.143,4.114,269516.81,228256.3,259733.59
2019-04-09,4.21,4.45,4.34,4.14,324615.84,0.15,3.58,4.258,4.109,4.108,283778.33,227722.31,266219.38
2019-04-08,4.25,4.38,4.19,4.16,330006.62,-0.04,-0.95,4.232,4.081,4.091,273457.53,215810.16,262502.13
2019-04-04,4.34,4.37,4.23,4.18,201061.41,-0.03,-0.7,4.182,4.081,4.072,230893.29,206796.44,265921.24
2019-04-03,4.25,4.38,4.26,4.21,246095.36,-0.01,-0.23,4.102,4.083,4.072,214818.01,238332.16,277196.35
2019-04-02,4.19,4.37,4.27,4.17,317112.44,0.06,1.43,4.034,4.065,4.07,186995.78,245910.4,285076.59
2019-04-01,3.95,4.21,4.21,3.94,273011.84,0.27,6.85,3.96,4.059,4.066,171666.29,250472.16,286186.95
2019-03-29,3.84,3.96,3.94,3.77,117185.4,0.11,2.87,3.93,4.05,4.062,158162.78,247540.9,297664.59
2019-03-28,3.9,3.92,3.83,3.81,120685.01,-0.09,-2.3,3.98,4.056,4.071,182699.58,260038.22,312543.82
2019-03-27,3.9,3.94,3.92,3.85,106984.2,0.02,0.51,4.064,4.072,4.079,261846.3,270913.91,320705.08
2019-03-26,4.08,4.11,3.9,3.85,240465.0,-0.16,-3.94,4.096,4.085,4.086,304825.02,291210.89,338590.85
2019-03-25,4.09,4.17,4.06,4.06,205494.3,-0.13,-3.1,4.158,4.106,4.086,329278.03,304716.45,352943.47
2019-03-22,4.2,4.23,4.19,4.08,239869.41,-0.06,-1.41,4.17,4.1,4.079,336919.01,309194.09,367073.81
2019-03-21,4.07,4.49,4.25,4.0,516418.59,0.17,4.17,4.132,4.063,4.06,337376.86,325046.03,372842.02
2019-03-20,4.22,4.24,4.08,3.96,321877.81,-0.13,-3.09,4.08,4.061,4.038,279981.52,316060.54,373747.44
2019-03-19,4.12,4.3,4.21,4.07,362730.03,0.09,2.18,4.074,4.074,4.038,277596.76,324242.77,393048.72
2019-03-18,3.97,4.12,4.12,3.97,243699.23,0.12,3.0,4.054,4.073,4.03,280154.87,321901.74,417756.87
2019-03-15,4.05,4.1,4.0,3.94,242158.66,0.01,0.25,4.03,4.073,4.02,281469.17,347788.27,409067.48
2019-03-14,3.97,4.09,3.99,3.82,229441.88,-0.06,-1.48,3.994,4.085,3.998,312715.2,365049.41,407790.3
2019-03-13,4.1,4.19,4.05,3.99,309954.0,-0.06,-1.46,4.042,4.086,3.96,352139.57,370496.25,401160.37
2019-03-12,4.02,4.19,4.11,4.0,375520.56,0.11,2.75,4.074,4.086,3.918,370888.78,385970.81,390297.42
2019-03-11,3.84,4.0,4.0,3.8,250270.77,0.18,4.71,4.092,4.066,3.871,363648.62,401170.48,376432.22
2019-03-08,4.1,4.11,3.82,3.81,398388.81,-0.41,-9.69,4.116,4.058,3.825,414107.37,424953.52,365708.7
2019-03-07,4.21,4.35,4.23,4.15,426563.69,0.02,0.47,4.176,4.056,3.782,417383.61,420638.0,348774.67
2019-03-06,4.21,4.25,4.21,4.07,403700.09,0.01,0.24,4.13,4.015,3.714,388852.92,431434.34,330659.2
2019-03-05,4.08,4.21,4.2,4.06,339319.72,0.08,1.94,4.098,4.001,3.652,401052.84,461854.67,312704.84
2019-03-04,4.06,4.28,4.12,4.05,502564.56,0.0,0.0,4.04,3.986,3.592,438692.35,513612.0,301263.26
2019-03-01,4.08,4.16,4.12,3.99,414770.0,0.12,3.0,4.0,3.966,3.547,435799.66,470346.69,279360.36
2019-02-28,4.0,4.04,4.0,3.93,283910.25,-0.05,-1.24,3.936,3.91,3.504,423892.38,450531.18,261805.35
2019-02-27,3.83,4.11,4.05,3.8,464699.69,0.14,3.58,3.9,3.834,3.472,474015.75,431824.49,251217.97
2019-02-26,3.87,4.15,3.91,3.8,527517.25,-0.01,-0.26,3.904,3.749,3.434,522656.49,394624.03,229881.47
2019-02-25,3.82,3.93,3.92,3.79,488101.12,0.12,3.16,3.932,3.676,3.403,588531.65,351693.96,206172.91
2019-02-22,3.71,3.83,3.8,3.7,355233.59,-0.02,-0.52,3.932,3.591,3.373,504893.72,306463.88,185745.6
