date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-05-21,3.6,3.83,3.76,3.54,141650.8,0.08,2.17,3.73,3.605,3.767,133050.68,90585.35,99414.64
2019-05-20,3.61,3.74,3.68,3.42,143013.0,-0.05,-1.34,3.676,3.575,3.795,111430.68,82878.52,97841.9
2019-05-17,3.96,4.02,3.73,3.67,221582.8,-0.19,-4.85,3.646,3.552,3.827,92699.22,77663.92,97363.1
2019-05-16,3.58,3.92,3.92,3.57,111703.78,0.36,10.11,3.604,3.552,3.856,63112.98,60881.69,94981.07
2019-05-15,3.54,3.59,3.56,3.51,47303.01,0.07,2.01,3.504,3.528,3.87,46974.63,59039.27,93408.95
2019-05-14,3.48,3.55,3.49,3.48,33550.81,-0.04,-1.13,3.48,3.558,3.903,48120.02,65274.71,94688.35
2019-05-13,3.48,3.58,3.53,3.47,49355.71,0.01,0.28,3.474,3.608,3.941,54326.37,74081.63,97455.41
2019-05-10,3.44,3.54,3.52,3.4,73651.6,0.1,2.92,3.458,3.674,3.983,62628.63,78796.83,100932.83
2019-05-09,3.4,3.46,3.42,3.4,31012.0,-0.02,-0.58,3.5,3.737,4.024,58650.39,88453.82,104516.52
2019-05-08,3.42,3.5,3.44,3.35,53030.0,-0.02,-0.58,3.552,3.835,4.076,71103.91,101995.12,117822.92
2019-05-07,3.47,3.52,3.46,3.38,64582.53,0.01,0.29,3.636,3.928,4.121,82429.4,108243.93,124155.67
2019-05-06,3.58,3.69,3.45,3.36,90867.0,-0.28,-7.51,3.742,4.014,4.164,93836.9,112805.28,126811.63
2019-04-30,3.64,3.77,3.73,3.62,53760.41,0.05,1.36,3.89,4.102,4.207,94965.03,117062.29,128925.34
2019-04-29,3.85,3.85,3.68,3.6,93279.59,-0.18,-4.66,3.974,4.16,4.235,118257.25,129080.46,135372.91
2019-04-26,3.99,3.99,3.86,3.8,109657.47,-0.13,-3.26,4.118,4.211,4.255,132886.34,127778.63,134472.08
2019-04-25,4.17,4.22,3.99,3.96,121620.01,-0.2,-4.77,4.22,4.248,4.261,134058.46,124101.98,131674.26
2019-04-24,4.14,4.22,4.19,4.11,96507.67,0.04,0.96,4.286,4.274,4.264,131773.67,120829.18,129028.8
2019-04-23,4.37,4.39,4.15,4.07,170221.52,-0.25,-5.68,4.314,4.291,4.257,139159.54,123068.82,128199.0
2019-04-22,4.39,4.5,4.4,4.35,166425.02,0.03,0.69,4.346,4.311,4.26,139903.68,120579.23,124278.51
2019-04-19,4.26,4.37,4.37,4.24,115518.07,0.05,1.16,4.304,4.317,4.254,122670.91,133650.72,120901.56
2019-04-18,4.31,4.41,4.32,4.3,110196.07,-0.01,-0.23,4.276,4.313,4.251,114145.5,140067.41,122612.12
2019-04-17,4.3,4.37,4.33,4.25,133437.02,0.02,0.46,4.262,4.314,4.248,109884.69,140817.97,123331.58
2019-04-16,4.17,4.39,4.31,4.1,173942.2,0.12,2.86,4.268,4.311,4.247,106978.11,140788.4,122013.08
2019-04-15,4.29,4.32,4.19,4.19,80261.2,-0.04,-0.95,4.276,4.31,4.245,101254.78,141665.36,118165.87
2019-04-12,4.21,4.25,4.23,4.15,72891.0,-0.02,-0.47,4.33,4.299,4.244,144630.52,141165.54,117844.38
2019-04-11,4.36,4.36,4.25,4.24,88892.03,-0.11,-2.52,4.35,4.274,4.237,165989.32,139246.54,119067.63
2019-04-10,4.33,4.37,4.36,4.24,118904.11,0.01,0.23,4.366,4.253,4.237,171751.24,137228.42,121472.03
2019-04-09,4.37,4.39,4.35,4.27,145325.56,-0.11,-2.47,4.354,4.223,4.233,174598.68,133329.19,124043.56
2019-04-08,4.34,4.66,4.46,4.33,297139.91,0.13,3.0,4.344,4.208,4.227,182075.95,127977.79,123348.22
2019-04-04,4.4,4.52,4.33,4.28,179685.0,0.0,0.0,4.268,4.19,4.21,137700.57,108152.4,119063.58
2019-04-03,4.3,4.34,4.33,4.25,117701.64,0.03,0.7,4.198,4.189,4.217,112503.77,105156.84,126109.87
2019-04-02,4.34,4.37,4.3,4.24,133141.3,0.0,0.0,4.14,4.182,4.218,102705.59,105845.18,136829.04
2019-04-01,4.08,4.3,4.3,4.07,182711.88,0.22,5.39,4.092,4.182,4.221,92059.69,103237.77,148387.95
2019-03-29,3.98,4.08,4.08,3.9,75263.01,0.1,2.51,4.072,4.179,4.222,73879.63,94666.39,155139.81
2019-03-28,4.03,4.08,3.98,3.97,53701.0,-0.06,-1.49,4.112,4.188,4.214,78604.24,94523.22,156180.3
2019-03-27,4.07,4.11,4.04,3.99,68710.78,-0.02,-0.49,4.18,4.2,4.213,97809.91,98888.72,158878.16
2019-03-26,4.21,4.23,4.06,4.04,79911.77,-0.14,-3.33,4.224,4.22,4.211,108984.77,105715.65,162812.62
2019-03-25,4.23,4.27,4.2,4.17,91811.61,-0.08,-1.87,4.272,4.242,4.205,114415.86,114757.93,169547.4
2019-03-22,4.31,4.31,4.28,4.19,98886.02,-0.04,-0.93,4.286,4.245,4.19,115453.14,118718.66,173745.03
2019-03-21,4.25,4.36,4.32,4.24,149729.38,0.06,1.41,4.264,4.229,4.159,110442.21,129974.75,173511.0
2019-03-20,4.29,4.34,4.26,4.18,124585.08,-0.04,-0.93,4.22,4.244,4.126,99967.53,147062.9,172528.31
2019-03-19,4.28,4.35,4.3,4.19,107067.2,0.03,0.7,4.216,4.254,4.095,102446.52,167812.9,170967.61
2019-03-18,4.18,4.28,4.27,4.15,96998.0,0.1,2.4,4.212,4.259,4.06,115100.01,193538.12,169914.66
2019-03-15,4.14,4.22,4.17,4.1,73831.37,0.07,1.71,4.204,4.264,4.026,121984.18,215613.24,168901.79
2019-03-14,4.19,4.28,4.1,4.05,97355.99,-0.14,-3.3,4.194,4.24,3.991,149507.29,217837.39,168042.12
2019-03-13,4.29,4.36,4.24,4.21,136980.05,-0.04,-0.94,4.268,4.225,3.962,194158.26,218867.61,168866.56
2019-03-12,4.26,4.37,4.28,4.21,170334.64,0.05,1.18,4.292,4.201,3.929,233179.28,219909.6,167279.38
2019-03-11,4.1,4.24,4.23,4.06,131418.84,0.11,2.67,4.306,4.168,3.885,271976.23,224336.87,160612.06
2019-03-08,4.3,4.35,4.12,4.12,211446.94,-0.35,-7.83,4.324,4.134,3.84,309242.31,228771.4,156075.7
2019-03-07,4.33,4.62,4.47,4.28,320610.84,0.11,2.52,4.286,4.089,3.796,286167.48,217047.25,147930.6
2019-03-06,4.32,4.38,4.36,4.19,332085.16,0.01,0.23,4.182,4.007,3.726,243576.95,197993.73,135413.21
2019-03-05,4.39,4.39,4.35,4.17,364319.38,0.03,0.69,4.11,3.936,3.671,206639.91,174122.31,119946.1
2019-03-04,3.94,4.32,4.32,3.94,317749.22,0.39,9.92,4.03,3.861,3.619,176697.51,146291.2,103902.4
2019-03-01,3.94,3.98,3.93,3.85,96072.81,-0.02,-0.51,3.944,3.787,3.574,148300.49,122190.34,89990.49
2019-02-28,3.93,4.01,3.95,3.91,107658.18,-0.05,-1.25,3.892,3.742,3.549,147927.01,118246.85,87660.71
2019-02-27,3.94,4.08,4.0,3.91,147399.98,0.05,1.27,3.832,3.699,3.528,152410.5,118865.52,84222.96
2019-02-26,3.96,4.12,3.95,3.83,214607.36,0.06,1.54,3.762,3.657,3.504,141604.71,114649.17,79275.19
2019-02-25,3.68,3.92,3.89,3.68,175764.12,0.22,6.0,3.692,3.601,3.485,115884.89,96887.25,72491.84
2019-02-22,3.65,3.68,3.67,3.55,94205.42,0.02,0.55,3.63,3.545,3.475,96080.2,83380.0,69602.69
2019-02-21,3.63,3.8,3.65,3.56,130075.64,0.0,0.0,3.592,3.502,3.475,88566.69,78813.95,72599.42
2019-02-20,3.61,3.73,3.65,3.58,93371.01,0.05,1.39,3.566,3.445,3.468,85320.54,72832.69,68960.94
2019-02-19,3.6,3.68,3.6,3.54,86008.26,0.02,0.56,3.552,3.406,3.463,87693.63,65769.89,66180.91
2019-02-18,3.49,3.6,3.58,3.49,76740.65,0.1,2.87,3.51,3.376,3.459,77889.6,61513.6,63675.38
2019-02-15,3.5,3.54,3.48,3.46,56637.91,-0.04,-1.14,3.46,3.36,3.455,70679.81,57790.63,63239.9
