date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-05-21,26.68,27.76,27.28,26.55,28791.66,-0.37,-1.34,27.11,26.657,27.644,33711.98,27409.0,30358.92
2019-05-20,26.04,28.29,27.65,25.52,36018.0,1.93,7.5,27.374,26.388,27.855,32962.13,26447.13,30309.72
2019-05-17,27.2,27.78,25.72,25.51,26615.66,-1.25,-4.63,27.044,25.962,28.015,29923.86,25019.64,29814.33
2019-05-16,27.67,27.9,26.97,26.7,30459.38,-0.96,-3.44,27.092,25.975,28.309,29201.53,23686.27,29921.55
2019-05-15,29.68,29.8,27.93,27.7,46675.18,-0.67,-2.34,26.708,25.818,28.501,26049.45,23009.6,29631.21
2019-05-14,25.9,28.6,28.6,25.5,25042.43,2.6,10.0,26.204,25.747,28.639,21106.02,22501.38,28450.8
2019-05-13,25.5,27.05,26.0,25.5,20826.66,0.04,0.15,25.402,25.911,28.806,19932.13,24117.9,29160.28
2019-05-10,25.23,26.1,25.96,24.7,23004.0,0.91,3.63,24.88,26.671,29.08,20115.41,27626.8,29779.0
2019-05-09,25.2,25.95,25.05,25.03,14699.0,-0.36,-1.42,24.858,27.39,29.318,18171.01,30847.29,29568.2
2019-05-08,24.05,25.8,25.41,23.7,21958.0,0.82,3.33,24.928,28.061,29.568,19969.74,33457.4,29926.65
2019-05-07,23.88,24.68,24.59,23.87,19173.0,1.2,5.13,25.29,28.631,29.827,23896.74,33308.85,30070.4
2019-05-06,24.62,25.3,23.39,23.27,21743.04,-2.46,-9.52,26.42,29.321,30.133,28303.67,34172.3,30535.87
2019-04-30,25.73,26.07,25.85,25.42,13282.0,0.45,1.77,28.462,30.067,30.544,35138.19,34609.02,31141.18
2019-04-29,26.8,27.72,25.4,25.07,23692.66,-1.82,-6.69,29.922,30.643,30.827,43523.58,36156.82,32067.68
2019-04-26,29.02,30.0,27.22,27.22,41593.0,-3.02,-9.99,31.194,31.183,31.089,46945.05,36252.82,32430.08
2019-04-25,32.88,32.88,30.24,30.24,41207.64,-3.36,-10.0,31.972,31.53,31.224,42720.96,34400.22,31551.18
