date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-05-21,4.9,5.39,5.39,4.77,1480453.75,0.49,10.0,4.814,4.57,4.688,764341.2,449584.77,343028.26
2019-05-20,4.52,4.94,4.9,4.37,719624.94,0.26,5.6,4.596,4.461,4.679,495615.65,314873.31,283514.06
2019-05-17,4.95,4.96,4.64,4.61,807093.38,-0.15,-3.13,4.484,4.396,4.698,377819.86,272226.43,271114.17
2019-05-16,4.37,4.79,4.79,4.36,666518.81,0.44,10.12,4.44,4.397,4.736,252039.75,204952.02,270449.95
2019-05-15,4.32,4.38,4.35,4.3,148015.11,0.05,1.16,4.34,4.378,4.75,142248.75,166254.68,250710.97
2019-05-14,4.28,4.45,4.3,4.28,136826.0,-0.04,-0.92,4.326,4.429,4.785,134828.34,177324.91,251411.64
2019-05-13,4.35,4.39,4.34,4.26,130646.01,-0.08,-1.81,4.326,4.479,4.823,134130.96,198110.88,259197.53
2019-05-10,4.33,4.46,4.42,4.23,178192.81,0.13,3.03,4.308,4.555,4.865,166632.99,202389.66,267523.07
2019-05-09,4.25,4.38,4.29,4.24,117563.84,0.01,0.23,4.354,4.622,4.904,157864.28,207797.5,276769.83
2019-05-08,4.25,4.35,4.28,4.2,110913.04,-0.02,-0.47,4.416,4.705,4.957,190260.6,219826.87,302333.86
2019-05-07,4.26,4.36,4.3,4.23,133339.12,0.05,1.18,4.532,4.805,5.005,219821.48,236471.74,320156.21
2019-05-06,4.51,4.56,4.25,4.2,293156.16,-0.4,-8.6,4.632,4.897,5.049,262090.8,252154.82,333543.88
2019-04-30,4.56,4.72,4.65,4.56,134349.25,0.05,1.09,4.802,4.999,5.095,238146.32,270001.9,347623.28
2019-04-29,4.86,4.89,4.6,4.56,279545.41,-0.26,-5.35,4.89,5.075,5.118,257730.72,335947.89,371039.99
2019-04-26,4.9,4.98,4.86,4.84,258717.44,0.06,1.25,4.994,5.121,5.13,249393.15,335167.27,368058.26
2019-04-25,5.1,5.14,4.8,4.77,344685.72,-0.3,-5.88,5.078,5.141,5.118,253122.01,325498.36,361251.88
2019-04-24,5.1,5.13,5.1,5.0,173433.78,0.01,0.2,5.162,5.166,5.113,242218.85,320284.17,351406.52
2019-04-23,5.11,5.21,5.09,5.03,232271.23,-0.03,-0.59,5.196,5.175,5.094,301857.48,332656.48,355665.91
2019-04-22,5.25,5.29,5.12,5.11,237857.59,-0.16,-3.03,5.26,5.185,5.082,414165.06,345742.16,356173.05
2019-04-19,5.2,5.3,5.28,5.12,277361.72,0.06,1.15,5.248,5.209,5.075,420941.38,384840.85,358085.76
2019-04-18,5.24,5.36,5.22,5.2,290169.91,-0.05,-0.95,5.204,5.204,5.063,397874.72,403840.68,366487.47
2019-04-17,5.37,5.38,5.27,5.25,471626.97,-0.14,-2.59,5.17,5.201,5.05,398349.5,414932.94,365435.0
2019-04-16,5.04,5.5,5.41,4.98,793809.12,0.35,6.92,5.154,5.19,5.036,363455.48,425244.66,355428.99
2019-04-15,5.15,5.25,5.06,5.05,271739.19,0.0,0.0,5.11,5.161,5.018,277319.26,406132.09,338971.02
2019-04-12,5.05,5.13,5.06,5.0,162028.39,0.01,0.2,5.17,5.139,5.008,348740.32,400949.26,340072.44
2019-04-11,5.17,5.24,5.05,5.03,292543.81,-0.14,-2.7,5.204,5.095,4.994,409806.65,397005.4,350332.09
2019-04-10,5.18,5.26,5.19,5.08,297156.91,0.0,0.0,5.232,5.059,4.987,431516.38,382528.87,354135.92
2019-04-09,5.32,5.35,5.19,5.1,363128.0,-0.17,-3.17,5.226,5.013,4.976,487033.84,378675.34,357796.63
2019-04-08,5.26,5.44,5.36,5.19,628844.5,0.13,2.49,5.212,4.979,4.964,534944.92,366603.95,355924.98
