date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-05-21,5.86,6.07,6.03,5.81,196912.34,0.16,2.73,5.996,5.913,6.005,233671.5,223369.24,372263.83
2019-05-20,5.94,5.95,5.87,5.75,218056.97,-0.08,-1.34,5.968,5.89,6.055,243236.89,226254.76,377227.44
2019-05-17,6.1,6.13,5.95,5.91,243454.41,-0.16,-2.62,5.96,5.876,6.115,235536.21,245517.24,382480.26
2019-05-16,6.02,6.18,6.11,6.01,258578.38,0.09,1.5,5.944,5.883,6.175,239258.59,253957.59,395052.74
2019-05-15,5.88,6.07,6.02,5.88,251355.41,0.13,2.21,5.874,5.86,6.211,220874.32,267252.94,397186.48
2019-05-14,5.76,5.96,5.89,5.73,244739.27,0.06,1.03,5.83,5.857,6.253,213066.97,279931.89,396132.09
2019-05-13,5.81,5.86,5.83,5.77,179553.56,-0.04,-0.68,5.812,5.878,6.303,209272.62,303947.75,400405.77
2019-05-10,5.8,5.9,5.87,5.68,262066.34,0.11,1.91,5.792,5.925,6.367,255498.27,325740.32,409836.47
2019-05-09,5.73,5.83,5.76,5.7,166657.0,-0.04,-0.69,5.822,5.962,6.427,268656.58,352292.95,417192.11
2019-05-08,5.7,5.84,5.8,5.67,212318.69,0.0,0.0,5.846,6.024,6.497,313631.56,405559.48,444351.03
2019-05-07,5.75,5.82,5.8,5.71,225767.53,0.07,1.22,5.884,6.096,6.561,346796.8,521158.41,462705.92
2019-05-06,5.83,5.94,5.73,5.63,410681.81,-0.29,-4.82,5.944,6.219,6.622,398622.87,528200.11,474790.1
2019-04-30,5.93,6.03,6.02,5.87,327857.88,0.14,2.38,6.058,6.354,6.681,395982.36,519443.28,484584.92
2019-04-29,5.99,6.04,5.88,5.74,391531.91,-0.11,-1.84,6.102,6.466,6.724,435929.32,536147.89,504735.96
2019-04-26,6.06,6.11,5.99,5.95,378144.88,-0.11,-1.8,6.202,6.562,6.753,497487.4,527120.01,499606.28
2019-04-25,6.29,6.36,6.1,6.1,484897.88,-0.2,-3.17,6.308,6.649,6.767,695520.03,512332.29,490218.65
2019-04-24,6.24,6.3,6.3,6.18,397479.25,0.06,0.96,6.494,6.728,6.78,657777.36,496863.78,476357.38
2019-04-23,6.38,6.41,6.24,6.21,527592.69,-0.14,-2.19,6.65,6.808,6.784,642904.19,493932.63,471495.44
2019-04-22,6.44,6.48,6.38,6.35,699322.31,-0.14,-2.15,6.83,6.891,6.798,636366.46,482091.27,460458.09
2019-04-19,6.41,6.63,6.52,6.41,1368308.0,-0.51,-7.25,6.922,6.969,6.813,556752.62,483142.58,444228.07
2019-04-18,7.09,7.21,7.03,7.02,296184.53,-0.05,-0.71,6.99,7.025,6.827,329144.55,404253.42,401818.61
2019-04-17,7.09,7.17,7.08,7.05,323113.44,-0.06,-0.84,6.962,7.025,6.814,335950.21,421380.09,412624.13
2019-04-16,6.79,7.14,7.14,6.79,494904.0,0.3,4.39,6.966,7.008,6.794,344961.06,449726.57,410474.73
2019-04-15,7.03,7.12,6.84,6.83,301253.12,-0.02,-0.29,6.952,6.981,6.774,327816.09,473324.03,404361.62
2019-04-12,6.89,6.98,6.86,6.82,230267.66,-0.03,-0.43,7.016,6.943,6.759,409532.54,472092.54,402164.62
2019-04-11,7.1,7.16,6.89,6.87,330212.84,-0.21,-2.96,7.06,6.885,6.739,479362.29,468105.01,407629.61
2019-04-10,7.09,7.17,7.1,6.97,368167.69,0.03,0.42,7.088,6.832,6.721,506809.98,455850.98,408830.45
2019-04-09,7.1,7.17,7.07,7.0,409179.12,-0.09,-1.26,7.05,6.759,6.7,554492.08,449058.26,411543.37
2019-04-08,7.22,7.37,7.16,7.05,709835.38,0.08,1.13,7.01,6.704,6.679,618831.96,438824.91,408371.59
2019-04-04,7.1,7.22,7.08,6.97,579416.44,0.05,0.71,6.87,6.657,6.645,534652.55,405313.57,402667.74
2019-04-03,6.85,7.05,7.03,6.82,467451.25,0.12,1.74,6.71,6.628,6.633,456847.72,399383.81,409280.87
2019-04-02,6.89,6.99,6.91,6.82,606578.19,0.04,0.58,6.576,6.603,6.619,404891.98,403868.17,414688.01
2019-04-01,6.58,6.94,6.87,6.57,730878.56,0.41,6.35,6.468,6.579,6.603,343624.44,371222.89,401855.3
2019-03-29,6.29,6.47,6.46,6.28,288938.31,0.18,2.87,6.398,6.566,6.582,258817.85,335399.21,384063.88
2019-03-28,6.32,6.37,6.28,6.26,190392.31,-0.08,-1.26,6.444,6.574,6.579,275974.59,332236.7,380969.52
2019-03-27,6.42,6.44,6.36,6.28,207672.52,-0.01,-0.16,6.546,6.593,6.585,341919.89,347154.2,380670.12
2019-03-26,6.56,6.58,6.37,6.35,300240.5,-0.15,-2.3,6.63,6.61,6.584,402844.37,361809.92,388696.51
2019-03-25,6.56,6.64,6.52,6.51,306845.62,-0.17,-2.54,6.69,6.64,6.586,398821.33,374028.49,403415.12
2019-03-22,6.77,6.78,6.69,6.59,374722.0,-0.1,-1.47,6.734,6.653,6.58,411980.57,377918.27,415883.28
2019-03-21,6.77,6.91,6.79,6.71,520118.81,0.01,0.15,6.704,6.633,6.545,388498.81,400021.9,407281.42
2019-03-20,6.68,6.88,6.78,6.62,512294.91,0.11,1.65,6.64,6.637,6.5,352388.52,419177.92,393006.75
2019-03-19,6.72,6.74,6.67,6.61,280125.31,-0.07,-1.04,6.59,6.635,6.458,320775.48,425507.84,381303.56
2019-03-18,6.6,6.74,6.74,6.59,372641.84,0.2,3.06,6.59,6.626,6.417,349235.65,432487.71,376175.43
2019-03-15,6.48,6.59,6.54,6.46,257313.19,0.07,1.08,6.572,6.598,6.374,343855.96,432728.55,366617.02
2019-03-14,6.49,6.71,6.47,6.37,339567.34,-0.06,-0.92,6.562,6.584,6.333,411545.0,429702.35,360256.51
2019-03-13,6.67,6.72,6.53,6.5,354229.72,-0.14,-2.1,6.634,6.576,6.299,485967.33,414186.03,350175.09
2019-03-12,6.68,6.77,6.67,6.57,422426.16,0.02,0.3,6.68,6.558,6.261,530240.21,415583.1,340854.99
2019-03-11,6.49,6.68,6.65,6.46,345743.38,0.16,2.46,6.662,6.532,6.213,515739.76,432801.76,326182.05
2019-03-08,6.69,6.88,6.49,6.48,595758.38,-0.34,-4.98,6.624,6.506,6.165,521601.14,453848.3,316200.01
2019-03-07,6.7,7.02,6.83,6.65,711679.0,0.07,1.04,6.606,6.456,6.118,447859.7,414540.93,292350.49
2019-03-06,6.58,6.77,6.76,6.52,575594.12,0.18,2.74,6.518,6.363,6.047,342404.72,366835.57,265584.57
2019-03-05,6.42,6.58,6.58,6.37,349923.94,0.12,1.86,6.436,6.281,5.979,300925.99,337099.27,256304.06
2019-03-04,6.43,6.58,6.46,6.4,375050.28,0.06,0.94,6.402,6.208,5.946,349863.75,319863.16,245272.38
2019-03-01,6.43,6.46,6.4,6.3,227051.16,0.01,0.16,6.388,6.149,5.926,386095.46,300505.48,231922.1
2019-02-28,6.39,6.45,6.39,6.34,184404.12,0.04,0.63,6.306,6.082,5.907,381222.15,290810.67,226445.02
2019-02-27,6.38,6.49,6.35,6.29,368200.44,-0.06,-0.94,6.208,6.021,5.894,391266.42,286164.15,221755.17
2019-02-26,6.37,6.6,6.41,6.3,594612.75,0.02,0.31,6.126,5.963,5.882,373272.55,266126.88,207539.39
2019-02-25,6.05,6.42,6.39,6.03,556208.81,0.4,6.68,6.014,5.893,5.865,289862.57,219562.35,183801.76
2019-02-22,5.89,5.99,5.99,5.85,202684.64,0.09,1.52,5.91,5.823,5.854,214915.51,178551.72,163225.65
2019-02-21,5.95,6.0,5.9,5.88,234625.48,-0.04,-0.67,5.858,5.779,5.863,200399.18,170160.05,164344.31
2019-02-20,5.87,6.04,5.94,5.87,278231.09,0.09,1.54,5.834,5.73,5.87,181061.87,164333.56,158612.97
2019-02-19,5.87,5.93,5.85,5.8,177562.84,-0.02,-0.34,5.8,5.676,5.877,158981.2,175508.85,148899.91
2019-02-18,5.77,5.88,5.87,5.76,181473.48,0.14,2.44,5.772,5.684,5.889,149262.13,170681.6,144977.61
2019-02-15,5.77,5.82,5.73,5.71,130103.01,-0.05,-0.86,5.736,5.702,5.899,142187.93,163338.72,140486.19
2019-02-14,5.8,5.85,5.78,5.76,137938.91,0.01,0.17,5.7,5.732,5.916,139920.92,162079.37,138426.02
2019-02-13,5.71,5.8,5.77,5.66,167827.77,0.06,1.05,5.626,5.766,5.926,147605.25,157346.2,136038.22
2019-02-12,5.69,5.75,5.71,5.64,128967.48,0.02,0.35,5.552,5.8,5.939,192036.5,148951.9,133939.72
2019-02-11,5.58,5.7,5.69,5.56,146102.48,0.14,2.52,5.596,5.837,5.955,192101.07,148041.18,131879.61
2019-02-01,5.42,5.57,5.55,5.42,118767.95,0.14,2.59,5.668,5.884,5.975,184489.51,147899.58,131170.21
2019-01-31,5.4,5.51,5.41,5.35,176360.56,0.01,0.18,5.764,5.947,5.999,184237.82,158528.58,131266.81
2019-01-30,5.45,5.65,5.4,5.39,389984.03,-0.53,-8.94,5.906,6.009,6.021,167087.15,152892.39,126358.0
2019-01-29,6.05,6.06,5.93,5.86,129290.35,-0.12,-1.98,6.048,6.077,6.04,105867.3,122290.96,110067.23
