date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-05-21,7.68,7.98,7.4,7.3,269706.53,-0.24,-3.14,7.18,6.566,6.366,220375.05,185667.1,176656.88
2019-05-20,7.0,7.67,7.64,6.95,241101.95,0.64,9.14,6.966,6.398,6.317,201058.17,170625.4,176974.94
2019-05-17,7.1,7.3,7.0,6.88,203371.08,-0.03,-0.43,6.716,6.194,6.242,197264.01,165863.27,177788.53
2019-05-16,6.79,7.31,7.03,6.77,191936.5,0.2,2.93,6.478,6.116,6.186,180457.83,156505.75,178699.19
2019-05-15,6.35,6.92,6.83,6.3,195759.2,0.5,7.9,6.202,6.032,6.127,165294.15,160372.39,186163.43
2019-05-14,6.2,6.47,6.33,6.19,173122.12,-0.06,-0.94,5.952,5.96,6.062,150959.15,152853.97,185530.38
2019-05-13,5.82,6.39,6.39,5.73,222131.14,0.58,9.98,5.83,5.949,6.026,140192.62,151211.68,192821.96
2019-05-10,5.79,5.95,5.81,5.57,119340.21,0.16,2.83,5.672,5.945,5.984,134462.54,141401.74,206583.76
2019-05-09,5.53,5.78,5.65,5.51,116118.08,0.07,1.25,5.754,5.993,5.955,132553.66,149546.54,208394.28
2019-05-08,5.59,5.75,5.58,5.44,124084.2,-0.14,-2.45,5.862,6.068,5.924,155450.62,158831.53,208903.83
2019-05-07,5.55,5.81,5.72,5.4,119289.47,0.12,2.14,5.968,6.166,5.905,154748.78,167646.67,208329.71
2019-05-06,6.15,6.15,5.6,5.6,193480.72,-0.62,-9.97,6.068,6.235,5.878,162230.75,183324.48,208542.71
2019-04-30,6.22,6.34,6.22,6.11,109795.85,0.03,0.48,6.218,6.289,5.859,148340.94,189713.8,205984.6
2019-04-29,6.25,6.42,6.19,6.1,230602.86,0.08,1.31,6.232,6.255,5.809,166539.42,200892.62,209263.58
2019-04-26,6.25,6.28,6.11,5.96,120575.0,-0.11,-1.77,6.274,6.222,5.75,162212.44,211954.48,202679.42
2019-04-25,6.28,6.54,6.22,6.15,156699.31,-0.13,-2.05,6.364,6.163,5.687,180544.56,218206.8,201336.62
2019-04-24,6.43,6.43,6.35,6.11,124031.68,0.06,0.95,6.402,6.102,5.624,204418.21,234432.24,199375.83
2019-04-23,6.4,6.68,6.29,6.28,200788.23,-0.11,-1.72,6.36,6.023,5.556,231086.65,271765.78,203207.44
