,ts_code,symbol,name,area,industry,fullname,list_status
973,002517.SZ,002517,恺英网络,福建,互联网,恺英网络股份有限公司,L
974,002518.SZ,002518,科士达,深圳,电器仪表,深圳科士达科技股份有限公司,L
975,002519.SZ,002519,银河电子,江苏,通信设备,江苏银河电子股份有限公司,L
976,002520.SZ,002520,日发精机,浙江,机床制造,浙江日发精密机械股份有限公司,L
977,002521.SZ,002521,齐峰新材,山东,造纸,齐峰新材料股份有限公司,L
978,002522.SZ,002522,浙江众成,浙江,塑料,浙江众成包装材料股份有限公司,L
979,002523.SZ,002523,天桥起重,湖南,工程机械,株洲天桥起重机股份有限公司,L
980,002524.SZ,002524,光正集团,新疆,医疗保健,光正集团股份有限公司,L
981,002526.SZ,002526,山东矿机,山东,工程机械,山东矿机集团股份有限公司,L
982,002527.SZ,002527,新时达,上海,电器仪表,上海新时达电气股份有限公司,L
983,002528.SZ,002528,英飞拓,深圳,电脑设备,深圳英飞拓科技股份有限公司,L
984,002529.SZ,002529,海源复材,福建,专用机械,福建海源复合材料科技股份有限公司,L
985,002530.SZ,002530,金财互联,江苏,专用机械,金财互联控股股份有限公司,L
986,002531.SZ,002531,天顺风能,江苏,电气设备,天顺风能(苏州)股份有限公司,L
987,002532.SZ,002532,新界泵业,浙江,农用机械,新界泵业集团股份有限公司,L
988,002533.SZ,002533,金杯电工,湖南,电气设备,金杯电工股份有限公司,L
989,002534.SZ,002534,杭锅股份,浙江,专用机械,杭州锅炉集团股份有限公司,L
990,002535.SZ,002535,林州重机,河南,工程机械,林州重机集团股份有限公司,L
991,002536.SZ,002536,西泵股份,河南,汽车配件,河南省西峡汽车水泵股份有限公司,L
992,002537.SZ,002537,海联金汇,山东,汽车整车,海联金汇科技股份有限公司,L
993,002538.SZ,002538,司尔特,安徽,农药化肥,安徽省司尔特肥业股份有限公司,L
994,002539.SZ,002539,云图控股,四川,农药化肥,成都云图控股股份有限公司,L
995,002540.SZ,002540,亚太科技,江苏,铝,江苏亚太轻合金科技股份有限公司,L
996,002541.SZ,002541,鸿路钢构,安徽,钢加工,安徽鸿路钢结构(集团)股份有限公司,L
997,002542.SZ,002542,中化岩土,北京,建筑施工,中化岩土集团股份有限公司,L
998,002543.SZ,002543,万和电气,广东,家用电器,广东万和新电气股份有限公司,L
999,002544.SZ,002544,杰赛科技,广东,软件服务,广州杰赛科技股份有限公司,L
1000,002545.SZ,002545,东方铁塔,山东,钢加工,青岛东方铁塔股份有限公司,L
1001,002546.SZ,002546,新联电子,江苏,电气设备,南京新联电子股份有限公司,L
1002,002547.SZ,002547,春兴精工,江苏,通信设备,苏州春兴精工股份有限公司,L
1003,002548.SZ,002548,金新农,深圳,饲料,深圳市金新农科技股份有限公司,L
1004,002549.SZ,002549,凯美特气,湖南,环境保护,湖南凯美特气体股份有限公司,L
1005,002550.SZ,002550,千红制药,江苏,生物制药,常州千红生化制药股份有限公司,L
1006,002551.SZ,002551,尚荣医疗,深圳,医疗保健,深圳市尚荣医疗股份有限公司,L
1007,002552.SZ,002552,宝鼎科技,浙江,机械基件,宝鼎科技股份有限公司,L
1008,002553.SZ,002553,南方轴承,江苏,汽车配件,江苏南方轴承股份有限公司,L
1009,002554.SZ,002554,惠博普,北京,石油开采,华油惠博普科技股份有限公司,L
1010,002555.SZ,002555,三七互娱,安徽,互联网,芜湖三七互娱网络科技集团股份有限公司,L
1011,002556.SZ,002556,辉隆股份,安徽,其他商业,安徽辉隆农资集团股份有限公司,L
1012,002557.SZ,002557,洽洽食品,安徽,食品,洽洽食品股份有限公司,L
1013,002558.SZ,002558,巨人网络,重庆,互联网,巨人网络集团股份有限公司,L
1014,002559.SZ,002559,亚威股份,江苏,机床制造,江苏亚威机床股份有限公司,L
1015,002560.SZ,002560,通达股份,河南,电气设备,河南通达电缆股份有限公司,L
1016,002561.SZ,002561,徐家汇,上海,百货,上海徐家汇商城股份有限公司,L
1017,002562.SZ,002562,兄弟科技,浙江,化学制药,兄弟科技股份有限公司,L
1018,002563.SZ,002563,森马服饰,浙江,服饰,浙江森马服饰股份有限公司,L
1019,002564.SZ,002564,天沃科技,江苏,化工机械,苏州天沃科技股份有限公司,L
1020,002565.SZ,002565,顺灏股份,上海,造纸,上海顺灏新材料科技股份有限公司,L
